i=0, j=0, k=0, Temperature=19.9
i=1, j=0, k=0, Temperature=22.2418
i=2, j=0, k=0, Temperature=22.3614
i=3, j=0, k=0, Temperature=24.7505
i=4, j=0, k=0, Temperature=9.67456
i=5, j=0, k=0, Temperature=30.5799
i=6, j=0, k=0, Temperature=30.6854
i=7, j=0, k=0, Temperature=55.8678
i=8, j=0, k=0, Temperature=72.7773
i=9, j=0, k=0, Temperature=72.7773
i=10, j=0, k=0, Temperature=30.7074
i=11, j=0, k=0, Temperature=30.58
i=12, j=0, k=0, Temperature=9.67458
i=13, j=0, k=0, Temperature=24.7509
i=14, j=0, k=0, Temperature=22.3619
i=15, j=0, k=0, Temperature=22.2427
i=16, j=0, k=0, Temperature=19.9
i=0, j=0, k=1, Temperature=16.0779
i=1, j=0, k=1, Temperature=18.1822
i=2, j=0, k=1, Temperature=19.8031
i=3, j=0, k=1, Temperature=21.476
i=4, j=0, k=1, Temperature=24.4619
i=5, j=0, k=1, Temperature=28.2231
i=6, j=0, k=1, Temperature=30.4367
i=7, j=0, k=1, Temperature=31.5612
i=8, j=0, k=1, Temperature=33.5055
i=9, j=0, k=1, Temperature=31.6065
i=10, j=0, k=1, Temperature=30.4949
i=11, j=0, k=1, Temperature=28.4948
i=12, j=0, k=1, Temperature=25.1808
i=13, j=0, k=1, Temperature=22.5714
i=14, j=0, k=1, Temperature=21.4054
i=15, j=0, k=1, Temperature=20.6395
i=16, j=0, k=1, Temperature=20.0433
i=0, j=0, k=2, Temperature=15.8962
i=1, j=0, k=2, Temperature=18.2512
i=2, j=0, k=2, Temperature=20.5316
i=3, j=0, k=2, Temperature=22.7729
i=4, j=0, k=2, Temperature=25.6696
i=5, j=0, k=2, Temperature=29.5569
i=6, j=0, k=2, Temperature=32.0019
i=7, j=0, k=2, Temperature=33.2237
i=8, j=0, k=2, Temperature=34.4782
i=9, j=0, k=2, Temperature=33.2416
i=10, j=0, k=2, Temperature=32.0738
i=11, j=0, k=2, Temperature=30.0047
i=12, j=0, k=2, Temperature=27.031
i=13, j=0, k=2, Temperature=25.0896
i=14, j=0, k=2, Temperature=23.577
i=15, j=0, k=2, Temperature=22.0174
i=16, j=0, k=2, Temperature=20.3591
i=0, j=0, k=3, Temperature=16.1102
i=1, j=0, k=3, Temperature=19.2556
i=2, j=0, k=3, Temperature=22.3588
i=3, j=0, k=3, Temperature=25.467
i=4, j=0, k=3, Temperature=29.5626
i=5, j=0, k=3, Temperature=33.7981
i=6, j=0, k=3, Temperature=36.4441
i=7, j=0, k=3, Temperature=37.8401
i=8, j=0, k=3, Temperature=39.3107
i=9, j=0, k=3, Temperature=37.8395
i=10, j=0, k=3, Temperature=36.5091
i=11, j=0, k=3, Temperature=34.2459
i=12, j=0, k=3, Temperature=30.9226
i=13, j=0, k=3, Temperature=27.782
i=14, j=0, k=3, Temperature=25.3984
i=15, j=0, k=3, Temperature=23.0079
i=16, j=0, k=3, Temperature=20.5513
i=0, j=0, k=4, Temperature=16.1185
i=1, j=0, k=4, Temperature=19.2866
i=2, j=0, k=4, Temperature=22.3972
i=3, j=0, k=4, Temperature=25.5018
i=4, j=0, k=4, Temperature=29.585
i=5, j=0, k=4, Temperature=33.7936
i=6, j=0, k=4, Temperature=36.4269
i=7, j=0, k=4, Temperature=37.8217
i=8, j=0, k=4, Temperature=39.2926
i=9, j=0, k=4, Temperature=37.8205
i=10, j=0, k=4, Temperature=36.4894
i=11, j=0, k=4, Temperature=34.228
i=12, j=0, k=4, Temperature=30.9129
i=13, j=0, k=4, Temperature=27.7696
i=14, j=0, k=4, Temperature=25.3878
i=15, j=0, k=4, Temperature=23.0014
i=16, j=0, k=4, Temperature=20.55
i=0, j=0, k=5, Temperature=18.2837
i=1, j=0, k=5, Temperature=20.1754
i=2, j=0, k=5, Temperature=21.9237
i=3, j=0, k=5, Temperature=23.589
i=4, j=0, k=5, Temperature=25.6894
i=5, j=0, k=5, Temperature=29.0002
i=6, j=0, k=5, Temperature=31.1712
i=7, j=0, k=5, Temperature=32.3809
i=8, j=0, k=5, Temperature=33.6603
i=9, j=0, k=5, Temperature=32.3884
i=10, j=0, k=5, Temperature=31.1992
i=11, j=0, k=5, Temperature=29.183
i=12, j=0, k=5, Temperature=26.2632
